"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","basement membrane organization","GO:0071711","0.000005646396802315565","5.248228604934995","25","967","11","16307","LAMA1,DAG1,LAMB1,LAMB3,LAMB2,CTSS,LAMC1,NTN4,PHLDB2,PXDN,COL4A1"
"GO:BP","endoderm development","GO:0007492","0.000006039244344742876","5.219017398703199","55","967","16","16307","SOX17,ZFP36L1,LAMB1,LAMB3,DUSP4,COL12A1,LAMC1,DUSP5,ITGA5,COL7A1,ITGAV,ITGB5,DUSP1,COL4A2,COL6A1,COL5A1"
"GO:BP","integrin-mediated signaling pathway","GO:0007229","0.000011394712852806313","4.943296614583035","104","967","22","16307","ADAMTS1,CCM2,LAMA1,ITGA1,CD47,ITGB4,LAMB1,TIMP1,LAMB2,LAMA5,ITGA2,PTK2B,ISG15,LIMS2,LAMC1,NEDD9,CD63,ITGB8,ITGA5,ITGAV,ITGB5,ITGB1"
"GO:BP","regulation of metallopeptidase activity","GO:1905048","0.000011394712852806313","4.943296614583035","13","967","8","16307","TIMP1,PICALM,CLDN4,TIMP2,MBP,LRP1,STAT3,TIMP3"
"GO:BP","endoderm formation","GO:0001706","0.00003810272112547269","4.419044007852517","49","967","14","16307","SOX17,LAMB1,LAMB3,DUSP4,COL12A1,DUSP5,ITGA5,COL7A1,ITGAV,ITGB5,DUSP1,COL4A2,COL6A1,COL5A1"
"GO:BP","formation of primary germ layer","GO:0001704","0.000048144452668003835","4.3174537462230544","80","967","18","16307","KLF4,SOX17,ITGB4,LAMB1,LAMB3,ITGA2,DUSP4,COL12A1,DUSP5,ITGA5,COL7A1,ITGAV,ITGB5,DUSP1,ITGB1,COL4A2,COL6A1,COL5A1"
"GO:BP","gastrulation","GO:0007369","0.00005729127064909168","4.241911545532385","115","967","22","16307","MEGF8,KLF4,SOX17,DAG1,ITGB4,LAMB1,LAMB3,ITGA2,DUSP4,COL12A1,DUSP5,MBP,ITGA5,PHLDB2,COL7A1,ITGAV,ITGB5,DUSP1,ITGB1,COL4A2,COL6A1,COL5A1"
"GO:BP","proton transmembrane transport","GO:1902600","0.0000779525723562656","4.108169548958798","67","967","16","16307","ATP1A1,ATP6V0D1,ATP6AP1,ATP6V1A,ATP6V1H,ATP1B1,ATP6V1D,MT-ND4,NNT,ATP6V1E1,MT-CO1,MT-ND5,ATP6AP2,TCIRG1,ATP6V0E1,CHP1"
"GO:BP","vacuole organization","GO:0007033","0.00011127537993956631","3.9536009141842814","188","967","29","16307","ARL8B,WIPI1,RAB1B,SCARB2,ATP2A2,CHMP4B,SMURF1,MTM1,RB1CC1,ATP6AP1,ULK2,WDR45,ATP6V1A,ELAPOR1,ATP6V1H,ATP6V1D,ATG2A,ATG13,TOM1,ACP2,TP53INP2,ARFIP2,SEC22B,ATP6AP2,RAB20,TCIRG1,GABARAPL1,ARSB,GRN"
"GO:BP","extracellular matrix assembly","GO:0085029","0.00012879431579189768","3.8901033037051436","34","967","11","16307","DAG1,TNXB,LAMB1,LAMB3,LAMB2,SMAD3,GAS6,NTN4,LTBP3,PHLDB2,PXDN"
"GO:BP","endoplasmic reticulum to Golgi vesicle-mediated transport","GO:0006888","0.00029061975930180485","3.5366748612561345","128","967","22","16307","NRBP1,RAB1B,SEC24A,TBC1D20,ERGIC1,TRAPPC9,TMED9,PPP6C,ANK1,SEC23A,YIPF5,COPG1,SAR1A,KDELR2,PDCD6,COPB1,SEC16A,TMED4,COPA,SEC24D,SEC22B,GOLGA2"
"GO:BP","basement membrane assembly","GO:0070831","0.00029588886387705465","3.5288713797118065","14","967","7","16307","DAG1,LAMB1,LAMB3,LAMB2,NTN4,PHLDB2,PXDN"
"GO:BP","positive regulation of peptidase activity","GO:0010952","0.00043004305779472063","3.366488058777465","161","967","25","16307","EIF2AK3,APH1B,BCL2L13,BID,ARL6IP5,PMAIP1,EFNA1,SMAD3,PSME1,PICALM,PDCD6,CLDN4,COL4A3,DAP,CYFIP2,NCSTN,MBP,RPS27L,RCN3,VSIR,CTSD,STAT3,PERP,GRN,GSN"
"GO:BP","substrate adhesion-dependent cell spreading","GO:0034446","0.0005439036352134226","3.264478038541229","96","967","18","16307","WASHC2C,DOCK5,P4HB,LAMB1,LAMB3,LAMB2,LAMA5,VAMP3,EFNA1,LIMS2,LAMC1,CALR,NEDD9,PARVA,FBLN1,NTN4,MEGF9,ITGAV"
"GO:BP","cell-matrix adhesion","GO:0007160","0.0006214955495442665","3.206561976942348","196","967","28","16307","JUP,TRIP6,ITGA1,MINK1,ITGB4,CDH13,MKLN1,RRAS,GSK3B,LIMCH1,CD44,ITGA2,PTK2B,MSLN,RHOD,L1CAM,CD63,UTRN,ITGB8,ITGA5,CDK6,PHLDB2,ITGAV,ITGB5,ITGB1,PTPRJ,CSF1,SERPINE1"
"GO:BP","negative regulation of metallopeptidase activity","GO:1905049","0.0006259842027193596","3.2034366264674907","7","967","5","16307","TIMP1,PICALM,TIMP2,LRP1,TIMP3"
"GO:BP","regulation of basement membrane organization","GO:0110011","0.0006847728617943953","3.1644534594969143","11","967","6","16307","LAMA1,DAG1,LAMB1,LAMB2,LAMC1,PHLDB2"
"GO:BP","protein autophosphorylation","GO:0046777","0.0007332519105518318","3.1347467967537694","198","967","28","16307","EIF2AK3,MAP3K9,FGFR3,MINK1,MKNK2,GRK5,GSK3B,PTK6,TNKS1BP1,PTK2B,RB1CC1,AAK1,ULK2,ERRFI1,EIF2AK1,UHMK1,EGFR,ATG13,HTATIP2,PDGFA,INSR,RAP2C,STK26,FAM20C,GPNMB,CHP1,LMTK2,MVP"
"GO:BP","regulation of developmental growth","GO:0048638","0.0007587127769550678","3.119922602222531","167","967","25","16307","GOLGA4,MEGF8,FGFR3,DUSP10,WWC1,GSK3B,SMURF1,WWC3,APP,SEMA4B,ULK2,LATS2,LIMK1,STAT5B,L1CAM,CELF1,TGFBR3,INSR,AGRN,SEMA5A,BASP1,SEMA3B,GDF15,OLFM1,CDKN1A"
"GO:BP","extrinsic apoptotic signaling pathway via death domain receptors","GO:0008625","0.0007798520118132808","3.1079878031436436","64","967","14","16307","HMOX1,TNFRSF1A,BID,GSK3B,PMAIP1,SORT1,MADD,LGALS3,TNFRSF10C,TNFAIP3,TNFRSF10B,ICAM1,TIMP3,SERPINE1"
"GO:BP","vesicle budding from membrane","GO:0006900","0.000869181662189511","3.0608894449077906","73","967","15","16307","AP3S1,SEC24A,TBC1D20,TRAPPC9,GOLPH3,TMED9,CHMP4B,PPP6C,WASL,SEC23A,SAR1A,PICALM,PDCD6,RILP,SEC24D"
"GO:BP","epithelial cell development","GO:0002064","0.0009064784375506327","3.0426425220308575","100","967","18","16307","AFDN,RHEB,PAX6,TNFRSF1A,GSK3B,RAPGEF1,RAPGEF2,WNT7B,IL6ST,EPHA2,RAP2C,PODXL,ICAM1,CDK6,PDE2A,COL18A1,MYO1E,GSTM3"
"GO:BP","endodermal cell differentiation","GO:0035987","0.0010016321601694523","2.9992917396848604","42","967","11","16307","SOX17,LAMB1,LAMB3,COL12A1,ITGA5,COL7A1,ITGAV,ITGB5,COL4A2,COL6A1,COL5A1"
"GO:BP","sulfur compound biosynthetic process","GO:0044272","0.0010598977931583014","2.9747360121007707","150","967","23","16307","PPT2,CHST12,HS6ST1,ELOVL1,CHST15,B3GNT3,GCLM,TM9SF2,DLD,ACSL3,CSGALNACT1,XYLT1,ACSL1,CHST3,SLC27A2,GSTP1,UST,CHPF,PDK4,PAPSS2,B4GALT4,HS6ST3,CHPF2"
"GO:BP","bone mineralization","GO:0030282","0.0013642066896319771","2.865119825158829","85","967","16","16307","ANO6,EIF2AK3,FGFR3,LGR4,BMP2,PTK2B,ISG15,SBDS,NBR1,RXRA,ECM1,CCN1,BCOR,ANKH,FBN2,ALPL"
"GO:BP","regulation of protein localization to cell periphery","GO:1904375","0.0014507981801294971","2.8383929978670466","104","967","18","16307","VAMP8,STX3,ZDHHC7,TMEM59,ABCA2,SPTBN1,ACSL3,GNAI1,PICALM,EGFR,ATP2B4,LGALS3,LRP1,EPHA2,ITGB1,SQSTM1,NKD2,DAB2"
"GO:BP","vacuolar acidification","GO:0007035","0.0015472760980287516","2.810432183293874","30","967","9","16307","ATP6V0D1,ATP6AP1,ATP6V1A,ATP6V1H,ATP6V1D,ATP6AP2,TCIRG1,ATP6V0E1,GRN"
"GO:BP","positive regulation of integrin-mediated signaling pathway","GO:2001046","0.0018956017288364682","2.722252903884962","13","967","6","16307","LAMA1,LAMB1,LAMB2,LIMS2,LAMC1,CD63"
"GO:BP","regulation of protein localization to plasma membrane","GO:1903076","0.0019426911561628065","2.711596236886294","88","967","16","16307","VAMP8,STX3,ZDHHC7,TMEM59,SPTBN1,ACSL3,PICALM,EGFR,ATP2B4,LGALS3,LRP1,EPHA2,ITGB1,SQSTM1,NKD2,DAB2"
"GO:BP","mucopolysaccharide metabolic process","GO:1903510","0.0020446671818066505","2.6893773736556423","62","967","13","16307","CHST12,HYAL1,CHST15,B3GNT3,CD44,CSGALNACT1,CHST3,UST,CHPF,B4GALT4,GNS,CEMIP2,CHPF2"
"GO:BP","regulation of extracellular matrix organization","GO:1903053","0.002067605298771465","2.684532363511379","46","967","11","16307","LAMA1,DAG1,TNFRSF1A,TNXB,LAMB1,BMP2,LAMB2,SMAD3,LAMC1,LRP1,PHLDB2"
"GO:BP","neuron projection guidance","GO:0097485","0.002098342714041125","2.6781235787441573","169","967","24","16307","NEXN,LAMA1,MEGF8,DAG1,PLXNA3,PLXNB2,CYFIP1,APP,LAMA5,SEMA4B,EFNA1,PLXNA2,NOTCH3,L1CAM,TRIO,BSG,NIBAN2,PLXND1,EPHA2,NRP2,SEMA5A,WNT5A,SEMA3B,ANOS1"
"GO:BP","axon guidance","GO:0007411","0.002098342714041125","2.6781235787441573","169","967","24","16307","NEXN,LAMA1,MEGF8,DAG1,PLXNA3,PLXNB2,CYFIP1,APP,LAMA5,SEMA4B,EFNA1,PLXNA2,NOTCH3,L1CAM,TRIO,BSG,NIBAN2,PLXND1,EPHA2,NRP2,SEMA5A,WNT5A,SEMA3B,ANOS1"
"GO:BP","proteoglycan metabolic process","GO:0006029","0.0021054351876386287","2.6766581230796875","71","967","14","16307","CHST12,HYAL1,HS6ST1,CHST15,TM9SF2,CSGALNACT1,XYLT1,CHST3,GPC1,UST,CHPF,SULF2,HS6ST3,CHPF2"
