GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0071711	basement membrane organization	0.000005646396802315565	0.000005646396802315565	+1	LAMA1,DAG1,LAMB1,LAMB3,LAMB2,CTSS,LAMC1,NTN4,PHLDB2,PXDN,COL4A1
GO:0007492	endoderm development	0.000006039244344742876	0.000006039244344742876	+1	SOX17,ZFP36L1,LAMB1,LAMB3,DUSP4,COL12A1,LAMC1,DUSP5,ITGA5,COL7A1,ITGAV,ITGB5,DUSP1,COL4A2,COL6A1,COL5A1
GO:0007229	integrin-mediated signaling pathway	0.000011394712852806313	0.000011394712852806313	+1	ADAMTS1,CCM2,LAMA1,ITGA1,CD47,ITGB4,LAMB1,TIMP1,LAMB2,LAMA5,ITGA2,PTK2B,ISG15,LIMS2,LAMC1,NEDD9,CD63,ITGB8,ITGA5,ITGAV,ITGB5,ITGB1
GO:1905048	regulation of metallopeptidase activity	0.000011394712852806313	0.000011394712852806313	+1	TIMP1,PICALM,CLDN4,TIMP2,MBP,LRP1,STAT3,TIMP3
GO:0001706	endoderm formation	0.00003810272112547269	0.00003810272112547269	+1	SOX17,LAMB1,LAMB3,DUSP4,COL12A1,DUSP5,ITGA5,COL7A1,ITGAV,ITGB5,DUSP1,COL4A2,COL6A1,COL5A1
GO:0001704	formation of primary germ layer	0.000048144452668003835	0.000048144452668003835	+1	KLF4,SOX17,ITGB4,LAMB1,LAMB3,ITGA2,DUSP4,COL12A1,DUSP5,ITGA5,COL7A1,ITGAV,ITGB5,DUSP1,ITGB1,COL4A2,COL6A1,COL5A1
GO:0007369	gastrulation	0.00005729127064909168	0.00005729127064909168	+1	MEGF8,KLF4,SOX17,DAG1,ITGB4,LAMB1,LAMB3,ITGA2,DUSP4,COL12A1,DUSP5,MBP,ITGA5,PHLDB2,COL7A1,ITGAV,ITGB5,DUSP1,ITGB1,COL4A2,COL6A1,COL5A1
GO:1902600	proton transmembrane transport	0.0000779525723562656	0.0000779525723562656	+1	ATP1A1,ATP6V0D1,ATP6AP1,ATP6V1A,ATP6V1H,ATP1B1,ATP6V1D,MT-ND4,NNT,ATP6V1E1,MT-CO1,MT-ND5,ATP6AP2,TCIRG1,ATP6V0E1,CHP1
GO:0007033	vacuole organization	0.00011127537993956631	0.00011127537993956631	+1	ARL8B,WIPI1,RAB1B,SCARB2,ATP2A2,CHMP4B,SMURF1,MTM1,RB1CC1,ATP6AP1,ULK2,WDR45,ATP6V1A,ELAPOR1,ATP6V1H,ATP6V1D,ATG2A,ATG13,TOM1,ACP2,TP53INP2,ARFIP2,SEC22B,ATP6AP2,RAB20,TCIRG1,GABARAPL1,ARSB,GRN
GO:0085029	extracellular matrix assembly	0.00012879431579189768	0.00012879431579189768	+1	DAG1,TNXB,LAMB1,LAMB3,LAMB2,SMAD3,GAS6,NTN4,LTBP3,PHLDB2,PXDN
